10.1.52.1,BOREHOLE2-PC1  ,00:02:c9:56:f3:4a
10.1.52.3,BOREHOLE2-PC3  ,00:02:c9:54:c4:aa
10.1.52.35,BOREHOLE2-PC35 ,00:02:c9:54:eb:9c
10.1.52.30,BOREHOLE2-PC30 ,00:02:c9:55:94:d2
10.1.52.28,BOREHOLE2-PC28 ,00:02:c9:57:56:ae
10.1.52.24,BOREHOLE2-PC24 ,00:02:c9:55:8c:8c
10.1.52.37,BOREHOLE2-PC37 ,00:02:c9:53:30:32
10.1.52.26,BOREHOLE2-PC26 ,00:02:c9:55:a0:0e
10.1.52.39,BOREHOLE2-PC39 ,00:02:c9:54:fa:c4
10.1.52.33,BOREHOLE2-PC33 ,00:02:c9:56:fa:86
10.1.52.21,BOREHOLE2-PC21 ,00:02:c9:55:f5:fc
10.1.52.23,BOREHOLE2-PC23 ,00:02:c9:57:1d:ca
10.1.52.19,BOREHOLE2-PC19 ,00:02:c9:54:e0:be
10.1.52.40,BOREHOLE2-PC40 ,00:02:c9:54:da:66
10.1.52.17,BOREHOLE2-PC17 ,00:02:c9:54:f1:f4
10.1.53.11,BOREHOLE-R3-11 ,00:02:c9:57:18:f8
10.1.53.9,BOREHOLE-R1-09 ,00:02:c9:55:b9:44
10.1.53.10,BOREHOLE-R2-10 ,00:02:c9:57:5d:3a
10.1.53.12,BOREHOLE-R2-12 ,00:02:c9:54:c9:88
10.1.53.8,BOREHOLE-R2-08 ,00:02:c9:56:c1:40
10.1.53.2,BOREHOLE-R2-02 ,00:02:c9:57:13:d2
10.1.53.22,BOREHOLE-R3-22 ,00:02:c9:55:8f:16
10.1.53.7,BOREHOLE-R2-07 ,00:02:c9:56:f4:2e
10.1.54.4,BOREHOLE-R5-02 ,e8:9a:8f:4f:ff:95
10.1.54.1,BOREHOLE-PC    ,9c:53:22:cc:97:39
